experiment,test_f1
within_1980s,0.4570114262837039
within_2010s,0.41981841397780395
forward_1980s_1990s,0.07993831307620854
large_gap_1980s_2020s,0.0632897272813494
backward_2010s_1980s,0.07428044936628442
